Source URL,Product Name,Printing,Rarity,Number,Market Price
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Brook,Normal,Common,ST01-011,$2.25
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,DON!! Card // Green Compass,Normal,DON!!,,$0.10
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Diable Jambe,Normal,Common,ST01-016,$6.63
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Franky,Normal,Common,ST01-010,$0.11
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Guard Point,Normal,Common,ST01-014,$0.57
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Gum-Gum Jet Pistol,Normal,Common,ST01-015,$0.59
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Jinbe,Normal,Common,ST01-005,$0.11
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Karoo,Normal,Common,ST01-003,$0.17
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Monkey.D.Luffy (001),Normal,Leader,ST01-001,$0.58
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Monkey.D.Luffy (012),Foil,Super Rare,ST01-012,$4.27
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Nami,Normal,Common,ST01-007,$0.52
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Nefeltari Vivi,Normal,Common,ST01-009,$0.15
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Nico Robin,Normal,Common,ST01-008,$0.12
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Roronoa Zoro,Foil,Super Rare,ST01-013,$0.99
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Sanji,Normal,Common,ST01-004,$0.20
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Thousand Sunny,Normal,Common,ST01-017,$0.18
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Tony Tony.Chopper,Normal,Common,ST01-006,$0.38
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Usopp,Normal,Common,ST01-002,$0.09
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/pokemon/price-guides/base-set,Abra,Normal,Common,043/102,$0.61
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/pokemon/price-guides/base-set,Alakazam,Holofoil,Holo Rare,001/102,$44.84
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/pokemon/price-guides/base-set,Arcanine,Normal,Uncommon,023/102,$2.67
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/pokemon/price-guides/base-set,Beedrill,Normal,Rare,017/102,$2.85
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/pokemon/price-guides/base-set,Bill,Normal,Common,091/102,$0.24
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/pokemon/price-guides/base-set,Blastoise,Holofoil,Holo Rare,002/102,$142.66
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/pokemon/price-guides/base-set,Bulbasaur,Normal,Common,044/102,$1.94
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/pokemon/price-guides/base-set,Caterpie,Normal,Common,045/102,$0.94
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/pokemon/price-guides/base-set,Chansey,Holofoil,Holo Rare,003/102,$30.44
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/pokemon/price-guides/base-set,Charizard,Holofoil,Holo Rare,004/102,$376.88
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/pokemon/price-guides/base-set,Charmander,Normal,Common,046/102,$0.89
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/pokemon/price-guides/base-set,Charmeleon,Normal,Uncommon,024/102,$1.03
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/pokemon/price-guides/base-set,Clefairy,Holofoil,Holo Rare,005/102,$23.57
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/pokemon/price-guides/base-set,Clefairy Doll,Normal,Rare,070/102,$3.73
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/pokemon/price-guides/base-set,Computer Search,Normal,Rare,071/102,$3.22
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/pokemon/price-guides/base-set,Defender,Normal,Uncommon,080/102,$1.09
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/pokemon/price-guides/base-set,Devolution Spray,Normal,Rare,072/102,$2.60
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/pokemon/price-guides/base-set,Dewgong,Normal,Uncommon,025/102,$1.92
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/pokemon/price-guides/base-set,Diglett,Normal,Common,047/102,$0.47
