Source URL,Product Name,Printing,Rarity,Number,Market Price
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Alvida,Normal,Common,OP01-064,$0.15
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Alvida (Box Topper),Foil,Common,OP01-064,$1.94
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Arlong,Normal,Uncommon,OP01-063,$0.09
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Artificial Devil Fruit SMILE,Normal,Uncommon,OP01-116,$0.08
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Ashura Doji,Normal,Uncommon,OP01-032,$0.10
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,BE-BENG!!,Normal,Common,OP01-059,$0.06
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Babanuki,Normal,Common,OP01-107,$0.06
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Bao Huang,Normal,Common,OP01-105,$0.06
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Baroque Works,Normal,Uncommon,OP01-090,$0.13
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Bartholomew Kuma,Foil,Rare,OP01-074,$0.18
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Bartolomeo,Normal,Common,OP01-019,$0.08
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Basil Hawkins,Normal,Uncommon,OP01-106,$0.27
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Bellamy,Normal,Common,OP01-076,$0.06
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Bepo,Foil,Rare,OP01-049,$0.18
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Black Maria,Foil,Rare,OP01-111,$0.18
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Boa Hancock,Foil,Super Rare,OP01-078,$1.07
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Boa Hancock (Parallel),Foil,Super Rare,OP01-078,$47.49
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Brook,Normal,Uncommon,OP01-022,$0.20
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Caesar Clown,Foil,Rare,OP01-069,$0.16
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Caribou,Normal,Common,OP01-007,$0.06
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Carrot,Normal,Common,OP01-009,$0.10
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Cavendish,Normal,Common,OP01-008,$0.08
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Cavendish (Box Topper),Foil,Common,OP01-008,$0.64
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Crescent Cutlass,Normal,Common,OP01-089,$0.10
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Crocodile (062),Normal,Leader,OP01-062,$0.16
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Crocodile (062) (Parallel),Foil,Leader,OP01-062,$45.66
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Crocodile (067),Foil,Super Rare,OP01-067,$0.53
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Crocodile (067) (Parallel),Foil,Super Rare,OP01-067,$8.38
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,DON!! Card (Manga) (Alternate Art),Foil,DON!!,,$1.09
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,DON!! Card // One Piece Film RED Promo,Normal,DON!!,,$0.10
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Demon Face,Normal,Uncommon,OP01-056,$0.11
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Denjiro,Foil,Rare,OP01-046,$0.30
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Desert Spada,Normal,Uncommon,OP01-088,$1.01
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Donquixote Doflamingo (060),Normal,Leader,OP01-060,$0.34
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Donquixote Doflamingo (060) (Parallel),Foil,Leader,OP01-060,$276.44
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Donquixote Doflamingo (073),Foil,Rare,OP01-073,$3.78
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Donquixote Doflamingo (073) (Parallel),Foil,Rare,OP01-073,$54.46
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Dracule Mihawk,Foil,Super Rare,OP01-070,$1.78
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Dracule Mihawk (Parallel),Foil,Super Rare,OP01-070,$27.89
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Elephant's Marchoo,Normal,Common,OP01-115,$0.05
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,"Eustass""Captain""Kid",Foil,Super Rare,OP01-051,$8.25
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,"Eustass""Captain""Kid (Parallel)",Foil,Super Rare,OP01-051,$43.04
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Franky,Normal,Uncommon,OP01-021,$0.10
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Fukurokuju,Normal,Common,OP01-110,$0.09
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Gecko Moria,Normal,Rare,OP01-068,$0.27
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Gordon,Normal,Uncommon,OP01-011,$0.12
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Green Star Rafflesia,Normal,Common,OP01-028,$0.09
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Gum-Gum Fire-Fist Pistol Red Hawk,Foil,Rare,OP01-026,$0.29
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Hajrudin,Normal,Common,OP01-018,$0.07
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Hitokiri Kamazo,Normal,Uncommon,OP01-108,$0.19
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Holedem,Normal,Common,OP01-113,$0.08
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Hyogoro,Normal,Common,OP01-020,$0.10
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,In Two Years!! At the Sabaody Archipelago!!,Normal,Uncommon,OP01-030,$0.29
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Inuarashi,Normal,Common,OP01-034,$0.08
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Inuarashi (Box Topper),Foil,Common,OP01-034,$1.19
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Izo,Normal,Uncommon,OP01-033,$1.29
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Jack,Foil,Rare,OP01-102,$0.20
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Jack (Parallel),Foil,Rare,OP01-102,$4.07
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Jean Bart,Normal,Common,OP01-045,$0.07
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Jinbe (014),Normal,Uncommon,OP01-014,$0.12
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Jinbe (071),Foil,Rare,OP01-071,$0.15
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Kaido (061),Normal,Leader,OP01-061,$0.23
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Kaido (061) (Parallel),Foil,Leader,OP01-061,$54.72
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Kaido (094),Foil,Super Rare,OP01-094,$1.87
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Kaido (094) (Parallel),Foil,Super Rare,OP01-094,$17.74
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Kanjuro,Normal,Common,OP01-038,$0.05
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Kawamatsu,Normal,Common,OP01-037,$0.06
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Killer,Normal,Uncommon,OP01-039,$0.21
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Kin'emon,Foil,Super Rare,OP01-040,$0.32
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Kin'emon (Parallel),Foil,Super Rare,OP01-040,$3.47
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,King (091),Normal,Leader,OP01-091,$0.22
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,King (091) (Parallel),Foil,Leader,OP01-091,$35.07
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,King (096),Foil,Super Rare,OP01-096,$0.61
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,King (096) (Parallel),Foil,Super Rare,OP01-096,$10.75
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Komachiyo,Normal,Common,OP01-010,$0.08
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/romance-dawn,Komurasaki,Normal,Uncommon,OP01-042,$0.11
